127.0.0.1, 2018-05-16 17:53:04, GET, /robots.txt, HTTP/1.1, 400, 0.000279
127.0.0.1, 2018-05-16 17:53:04, GET, /grubmeet, HTTP/1.1, 200, 0.093409
127.0.0.1, 2018-05-16 17:53:04, GET, /grubmeet/api/get_memos, HTTP/1.1, 200, 0.036072
127.0.0.1, 2018-05-16 17:53:04, GET, /favicon.ico, HTTP/1.1, 400, 0.001777
127.0.0.1, 2018-05-16 17:53:39, GET, /admin/default/site, HTTP/1.1, 200, 0.045651
127.0.0.1, 2018-05-16 17:53:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000370
127.0.0.1, 2018-05-16 17:53:45, GET, /admin/default/design/grubmeet, HTTP/1.1, 200, 0.153474
127.0.0.1, 2018-05-16 17:53:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000360
127.0.0.1, 2018-05-16 17:53:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000215
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/default/edit/grubmeet/models/tables.py, HTTP/1.1, 200, 0.045463
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000589
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000656
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000530
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.001848
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000872
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.002913
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000617
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001708
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000916
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.003265
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.001711
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000614
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000625
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001160
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000787
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.002126
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000571
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000604
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000596
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000823
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001216
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.002401
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000585
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000978
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000596
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001202
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000781
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001733
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.002964
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001267
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000549
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/js/typeahead.min.js, HTTP/1.1, 200, 0.002137
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.002717
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/js/ajax_editor.js, HTTP/1.1, 200, 0.001245
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.001364
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000770
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/static/_2.16.1/images/files_toggle.png, HTTP/1.1, 200, 0.001124
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/default/edit/grubmeet/models/tables.py, HTTP/1.1, 200, 0.028535
127.0.0.1, 2018-05-16 17:54:01, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.152323
127.0.0.1, 2018-05-16 17:54:02, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.185084
127.0.0.1, 2018-05-16 17:54:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.218286
127.0.0.1, 2018-05-16 17:54:02, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.143712
127.0.0.1, 2018-05-16 17:54:02, GET, /admin/static/_2.16.1/images/save_icon.png, HTTP/1.1, 200, 0.001572
127.0.0.1, 2018-05-16 17:54:02, GET, /grubmeet/appadmin/hooks, HTTP/1.1, 200, 0.385255
127.0.0.1, 2018-05-16 17:54:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000624
127.0.0.1, 2018-05-16 17:54:05, GET, /admin/default/design/grubmeet, HTTP/1.1, 200, 0.128291
127.0.0.1, 2018-05-16 17:54:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000339
127.0.0.1, 2018-05-16 17:56:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000348
127.0.0.1, 2018-05-16 17:56:58, GET, /admin/default/site, HTTP/1.1, 200, 0.033565
127.0.0.1, 2018-05-16 17:56:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000390
127.0.0.1, 2018-05-16 17:57:01, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.716435
127.0.0.1, 2018-05-16 17:57:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000351
127.0.0.1, 2018-05-16 17:57:01, GET, /grubmeet/api/get_memos, HTTP/1.1, 200, 0.297995
127.0.0.1, 2018-05-16 18:09:55, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.788419
127.0.0.1, 2018-05-16 18:09:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000374
127.0.0.1, 2018-05-16 18:09:56, GET, /grubmeet/api/get_memos, HTTP/1.1, 200, 0.283166
127.0.0.1, 2018-05-16 20:14:07, GET, /robots.txt, HTTP/1.1, 400, 0.000405
127.0.0.1, 2018-05-16 20:14:08, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.873594
127.0.0.1, 2018-05-16 20:14:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000352
127.0.0.1, 2018-05-16 20:14:09, GET, /grubmeet/api/get_memos, HTTP/1.1, 200, 0.259405
127.0.0.1, 2018-05-16 20:28:10, GET, /robots.txt, HTTP/1.1, 400, 0.000513
127.0.0.1, 2018-05-16 20:28:10, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.670556
127.0.0.1, 2018-05-16 20:28:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000861
127.0.0.1, 2018-05-16 20:36:55, GET, /robots.txt, HTTP/1.1, 400, 0.000712
127.0.0.1, 2018-05-16 20:36:55, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.688549
127.0.0.1, 2018-05-16 20:36:55, GET, /grubmeet/static/js/default_index.js, HTTP/1.1, 200, 0.002338
127.0.0.1, 2018-05-16 20:36:56, GET, /favicon.ico, HTTP/1.1, 400, 0.001311
127.0.0.1, 2018-05-16 20:39:44, GET, /admin/default/site, HTTP/1.1, 303, 0.011418
127.0.0.1, 2018-05-16 20:39:44, GET, /admin/default/index, HTTP/1.1, 200, 0.047689
127.0.0.1, 2018-05-16 20:39:44, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.001730
127.0.0.1, 2018-05-16 20:39:44, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.002203
127.0.0.1, 2018-05-16 20:39:44, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001299
127.0.0.1, 2018-05-16 20:39:44, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.002794
127.0.0.1, 2018-05-16 20:39:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000342
127.0.0.1, 2018-05-16 20:39:47, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.628978
127.0.0.1, 2018-05-16 20:39:47, GET, /favicon.ico, HTTP/1.1, 400, 0.001302
127.0.0.1, 2018-05-16 20:41:07, GET, /robots.txt, HTTP/1.1, 400, 0.000340
127.0.0.1, 2018-05-16 20:41:07, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.319248
127.0.0.1, 2018-05-16 20:41:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000776
127.0.0.1, 2018-05-16 20:41:26, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.606783
127.0.0.1, 2018-05-16 20:41:26, GET, /favicon.ico, HTTP/1.1, 400, 0.001250
127.0.0.1, 2018-05-16 20:43:38, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.182446
127.0.0.1, 2018-05-16 20:43:38, GET, /favicon.ico, HTTP/1.1, 400, 0.001305
127.0.0.1, 2018-05-16 20:47:00, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.189382
127.0.0.1, 2018-05-16 20:47:00, GET, /favicon.ico, HTTP/1.1, 400, 0.001251
127.0.0.1, 2018-05-16 20:47:02, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.184485
127.0.0.1, 2018-05-16 20:47:02, GET, /favicon.ico, HTTP/1.1, 400, 0.001304
127.0.0.1, 2018-05-16 20:48:54, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.670656
127.0.0.1, 2018-05-16 20:48:54, GET, /favicon.ico, HTTP/1.1, 400, 0.001482
127.0.0.1, 2018-05-16 20:48:58, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.623426
127.0.0.1, 2018-05-16 20:48:58, GET, /favicon.ico, HTTP/1.1, 400, 0.001305
127.0.0.1, 2018-05-16 20:49:10, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.162292
127.0.0.1, 2018-05-16 20:49:10, GET, /grubmeet/static/js/default_index.js, HTTP/1.1, 200, 0.000538
127.0.0.1, 2018-05-16 20:49:10, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 200, 0.004121
127.0.0.1, 2018-05-16 20:49:11, GET, /favicon.ico, HTTP/1.1, 400, 0.001363
127.0.0.1, 2018-05-16 20:52:58, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.169375
127.0.0.1, 2018-05-16 20:52:58, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 304, 0.001484
127.0.0.1, 2018-05-16 20:52:58, GET, /grubmeet/static/js/default_index.js, HTTP/1.1, 304, 0.001693
127.0.0.1, 2018-05-16 20:52:59, GET, /favicon.ico, HTTP/1.1, 400, 0.001239
127.0.0.1, 2018-05-16 20:53:15, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.141050
127.0.0.1, 2018-05-16 20:53:15, GET, /favicon.ico, HTTP/1.1, 400, 0.001307
127.0.0.1, 2018-05-16 20:53:27, GET, /grubmeet/default/index, HTTP/1.1, 200, 0.145166
127.0.0.1, 2018-05-16 20:53:27, GET, /grubmeet/static/css/myapp.css, HTTP/1.1, 200, 0.001694
